City,YEAR,MONTH,Air Pollutant #1
LEICESTER,2024,5,22.0
LEICESTER,2024,6,17.0
LEICESTER,2024,7,19.0
LEICESTER,2024,8,14.0
LEICESTER,2024,9,20.0
LIVERPOOL,2024,1,12.0
LIVERPOOL,2024,2,13.0
LIVERPOOL,2024,3,13.0
LIVERPOOL,2024,4,11.0
LIVERPOOL,2024,5,14.0
LIVERPOOL,2024,6,14.0
LIVERPOOL,2024,7,12.0
LIVERPOOL,2024,8,8.0
LIVERPOOL,2024,9,8.0
LONDON,2024,1,17.5
LONDON,2024,2,17.5
LONDON,2024,3,20.5
LONDON,2024,4,19.5
LONDON,2024,5,21.0
LONDON,2024,6,15.0
LONDON,2024,7,19.0
LONDON,2024,8,13.5
LONDON,2024,9,16.0
LONDON,2024,10,15.5
LONDON,2024,11,19.5
LONDON,2024,12,15.0
LONDON,2025,1,18.0
LONDON,2025,2,26.0
LONDON,2025,3,17.5
LONDON,2025,4,24.0
LONDON,2025,5,14.0
LONDON,2025,6,15.0
LONDON,2025,7,14.0
LONDON,2025,8,16.5
LONDON,2025,9,13.0
LONDON,2025,10,14.0
LONDON,2025,11,15.0
LONDON,2025,12,14.0
Leamington Spa,2024,1,10.0
Leamington Spa,2024,2,12.0
Leamington Spa,2024,3,14.0
Leamington Spa,2024,4,12.0
Leamington Spa,2024,5,15.0
Leamington Spa,2024,6,11.0
Leamington Spa,2024,7,11.0
Leamington Spa,2024,8,8.0
Leamington Spa,2024,9,10.0
Leamington Spa,2024,10,10.0
Leamington Spa,2024,11,13.0
Leamington Spa,2024,12,9.0
Leamington Spa,2025,1,13.0
Leamington Spa,2025,2,17.0
Leamington Spa,2025,3,11.0
Leamington Spa,2025,4,19.0
Leamington Spa,2025,5,10.0
Leamington Spa,2025,6,7.0
Leamington Spa Rugby Road,2024,1,13.0
Leamington Spa Rugby Road,2024,2,14.0
Leamington Spa Rugby Road,2024,3,14.0
Leamington Spa Rugby Road,2024,4,12.0
Leamington Spa Rugby Road,2024,5,9.0
