City,YEAR,MONTH,Air Pollutant #1,Prescription_Qty,Population,Population_Thousands,Presc_per_thous,Presc_per_Poll
BIRMINGHAM,2024,1,12.0,27,1121375,1121.375,0.024077583324044142,0.0020064652770036785
BIRMINGHAM,2024,2,13.0,25,1121375,1121.375,0.022294058633374206,0.0017149275871826313
BIRMINGHAM,2024,3,14.0,20,1121375,1121.375,0.017835246906699364,0.0012739462076213832
BIRMINGHAM,2024,4,13.0,19,1121375,1121.375,0.016943484561364398,0.0013033449662587999
BIRMINGHAM,2024,5,20.0,20,1121375,1121.375,0.017835246906699364,0.0008917623453349682
BIRMINGHAM,2024,6,12.0,21,1121375,1121.375,0.018727009252034334,0.0015605841043361945
BIRMINGHAM,2024,7,17.0,26,1121375,1121.375,0.023185820978709176,0.0013638718222770104
BIRMINGHAM,2024,8,13.0,17,1121375,1121.375,0.01515995987069446,0.0011661507592841893
BIRMINGHAM,2024,9,12.5,22,1121375,1121.375,0.0196187715973693,0.001569501727789544
BIRMINGHAM,2024,10,13.0,38,1121375,1121.375,0.033886969122728795,0.0026066899325175997
BIRMINGHAM,2024,11,16.5,49,1121375,1121.375,0.043696354921413445,0.002648263934631118
BIRMINGHAM,2024,12,12.5,57,1121375,1121.375,0.05083045368409319,0.004066436294727455
BIRMINGHAM,2025,1,14.0,31,1121375,1121.375,0.027644632705384014,0.0019746166218131437
BIRMINGHAM,2025,2,24.0,31,1121375,1121.375,0.027644632705384014,0.0011518596960576673
BIRMINGHAM,2025,3,11.0,55,1121375,1121.375,0.04904692899342325,0.004458811726674841
BIRMINGHAM,2025,4,25.0,75,1121375,1121.375,0.06688217590012262,0.0026752870360049045
BRISTOL,2024,1,14.0,9,425215,425.215,0.021165763202144798,0.0015118402287246284
BRISTOL,2024,2,12.0,8,425215,425.215,0.018814011735239822,0.0015678343112699852
BRISTOL,2024,3,14.0,10,425215,425.215,0.023517514669049777,0.0016798224763606984
BRISTOL,2024,4,13.0,10,425215,425.215,0.023517514669049777,0.0018090395899269059
BRISTOL,2024,5,18.0,11,425215,425.215,0.025869266135954753,0.0014371814519974864
BRISTOL,2024,6,12.0,14,425215,425.215,0.03292452053666969,0.002743710044722474
BRISTOL,2024,7,15.0,11,425215,425.215,0.025869266135954753,0.0017246177423969834
BRISTOL,2024,9,11.0,9,425215,425.215,0.021165763202144798,0.0019241602911040726
BRISTOL,2024,10,11.0,11,425215,425.215,0.025869266135954753,0.0023517514669049774
BRISTOL,2024,11,12.0,15,425215,425.215,0.035276272003574666,0.002939689333631222
BRISTOL,2024,12,11.0,7,425215,425.215,0.016462260268334843,0.0014965691153031675
BRISTOL,2025,1,12.0,15,425215,425.215,0.035276272003574666,0.002939689333631222
BRISTOL,2025,2,18.0,11,425215,425.215,0.025869266135954753,0.0014371814519974864
BRISTOL,2025,3,13.0,15,425215,425.215,0.035276272003574666,0.002713559384890359
BRISTOL,2025,4,16.0,12,425215,425.215,0.028221017602859732,0.0017638136001787332
BRISTOL,2025,5,9.0,15,425215,425.215,0.035276272003574666,0.003919585778174963
BRISTOL,2025,6,8.0,23,425215,425.215,0.054090283738814485,0.006761285467351811
CARLISLE,2024,1,13.0,7,77730,77.73,0.09005531969638492,0.0069273322843373016
CARLISLE,2024,2,16.0,9,77730,77.73,0.11578541103820918,0.0072365881898880735
