City,YEAR,MONTH,Air Pollutant #2
BIRMINGHAM,2024,1,8.0
BIRMINGHAM,2024,2,8.5
BIRMINGHAM,2024,3,10.0
BIRMINGHAM,2024,4,9.5
BIRMINGHAM,2024,5,13.5
BIRMINGHAM,2024,6,9.0
BIRMINGHAM,2024,7,8.5
BIRMINGHAM,2024,8,6.0
BIRMINGHAM,2024,9,6.0
BIRMINGHAM,2024,10,6.666666666666667
BIRMINGHAM,2024,11,10.0
BIRMINGHAM,2024,12,6.333333333333333
BIRMINGHAM,2025,1,8.0
BIRMINGHAM,2025,2,15.5
BIRMINGHAM,2025,3,6.5
BIRMINGHAM,2025,4,15.0
BIRMINGHAM,2025,5,6.0
BLACKPOOL,2024,1,7.0
BLACKPOOL,2024,2,7.0
BLACKPOOL,2024,3,8.0
BLACKPOOL,2024,4,7.0
BLACKPOOL,2024,5,8.0
BLACKPOOL,2024,6,7.0
BLACKPOOL,2024,7,6.0
BLACKPOOL,2024,8,4.0
BLACKPOOL,2024,9,4.0
BLACKPOOL,2024,10,7.0
BLACKPOOL,2024,11,9.0
BLACKPOOL,2024,12,7.0
BLACKPOOL,2025,2,17.0
BLACKPOOL,2025,3,7.0
BLACKPOOL,2025,4,15.0
BLACKPOOL,2025,5,7.0
BLACKPOOL,2025,6,6.0
BLACKPOOL,2025,7,6.0
BRISTOL,2024,1,9.0
BRISTOL,2024,2,8.0
BRISTOL,2024,3,9.0
BRISTOL,2024,4,9.0
BRISTOL,2024,5,11.0
BRISTOL,2024,6,8.0
BRISTOL,2024,7,10.0
BRISTOL,2024,9,8.0
BRISTOL,2024,10,8.0
BRISTOL,2024,11,10.0
BRISTOL,2024,12,7.0
BRISTOL,2025,1,9.0
BRISTOL,2025,2,13.0
BRISTOL,2025,3,7.0
BRISTOL,2025,4,14.0
BRISTOL,2025,5,6.0
BRISTOL,2025,6,6.0
Barnstaple A39,2024,1,5.0
Barnstaple A39,2024,2,7.0
Barnstaple A39,2024,3,6.0
Barnstaple A39,2024,4,6.0
Barnstaple A39,2024,5,5.0
Barnstaple A39,2024,6,7.0
Barnstaple A39,2024,7,5.0
Barnstaple A39,2024,8,4.0
CARLISLE,2024,1,7.0
CARLISLE,2024,2,8.0
CARLISLE,2024,3,8.0
CARLISLE,2024,4,6.0
CARLISLE,2024,5,7.0
CARLISLE,2024,6,8.0
CARLISLE,2024,7,6.0
CARLISLE,2024,8,4.0
CARLISLE,2024,9,4.0
CARLISLE,2024,10,6.0
CARLISLE,2024,11,8.0
CHESTERFIELD,2024,1,6.5
CHESTERFIELD,2024,2,7.0
CHESTERFIELD,2024,3,9.5
CHESTERFIELD,2024,4,8.0
CHESTERFIELD,2024,5,10.0
CHESTERFIELD,2024,6,7.0
